,Borough,Neighborhood,Building_Class_Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,address,Apartment Number,Zip Code,Residential_Units,Commercial_Units,Total Units,Land_Square_Feet,Gross Square Feet,Year Built,Tax_Class_At_Time_Of_Sale,Building_Class_At_Time_Of_Sale,Sale_Price,sale date,latitude,longitude
1628,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1780,120,,B1,720 DEKALB AVENUE,,11216,2,0,2,"2,057","2,409",2002,1,B1,0,11/1/2022,40.6916154,-73.9472587
1629,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1781,2,,B9,225 TOMPKINS AVENUE,,11216,2,0,2,"1,992","1,960",1992,1,B9,910000,2/23/2022,40.6915075,-73.945243
1630,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1781,6,,B9,217 TOMPKINS AVENUE,,11216,2,0,2,"1,992","1,960",1992,1,B9,10,3/15/2022,40.6917271,-73.9452825
1631,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1782,46,,B2,363 KOSCIUSZKO STREET,,11221,2,0,2,"2,499","2,205",1899,1,B2,0,7/21/2022,40.6921116,-73.940396
1632,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1782,142,,B2,369 KOSCIUSZKO STREET,,11221,2,0,2,"1,600","2,700",2004,1,B2,1850000,8/24/2022,40.6921115,-73.9401652
1633,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1783,55,,S2,282 NOSTRAND AVENUE,,11205,2,1,3,"1,600","1,920",1930,1,S2,0,7/20/2022,40.6902258,-73.9518104
1635,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1786,14,,B3,258 KOSCIUSZKO STREET,,11221,2,0,2,"1,875","2,250",1899,1,B3,0,4/15/2022,40.6911914,-73.9443814
1637,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1788,18,,B3,520 LAFAYETTE AVENUE,,11205,2,0,2,"2,499","2,080",1901,1,B3,999999,9/15/2022,40.6893183,-73.9541765
1639,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1788,101,,B1,229 CLIFTON PLACE,,11216,2,0,2,"1,858","2,787",1899,1,B1,974999,12/15/2022,40.6889973,-73.9544869
1640,3,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,1,1789,19,,B2,612 LAFAYETTE AVENUE,,11216,2,0,2,"1,875","1,350",1899,1,B2,0,5/12/2022,40.6897449,-73.9504405
